0,0,0,5.433,6,名詞,数,,,
1,1,1,5.734,3,名詞,数,,,
2,2,2,5.91,2,名詞,数,,,
3,3,3,6.211,1,名詞,数,,,
4,4,4,6.211,1,名詞,数,,,
5,5,5,5.512,5,名詞,数,,,
6,6,6,6.211,1,名詞,数,,,
7,7,7,6.211,1,名詞,数,,,
7,7,7,6.211,1,名詞,数,,,
8,8,8,6.211,1,名詞,数,,,
10,10,10,5.91,2,名詞,数,,,
12,12,12,6.211,1,名詞,数,,,
14,14,14,5.91,2,名詞,数,,,
15,15,15,5.734,3,名詞,数,,,
17,17,17,5.91,2,名詞,数,,,
19,19,19,5.91,2,名詞,数,,,
20,20,20,6.211,1,名詞,数,,,
22,22,22,6.211,1,名詞,数,,,
24,24,24,6.211,1,名詞,数,,,
25,25,25,6.211,1,名詞,数,,,
27,27,27,5.91,2,名詞,数,,,
30,30,30,6.211,1,名詞,数,,,
36,36,36,5.734,3,名詞,数,,,
37,37,37,6.211,1,名詞,数,,,
44,44,44,6.211,1,名詞,数,,,
45,45,45,6.211,1,名詞,数,,,
54,54,54,6.211,1,名詞,数,,,
55,55,55,5.91,2,名詞,数,,,
75,75,75,6.211,1,名詞,数,,,
92,92,92,6.211,1,名詞,数,,,
157,157,157,6.211,1,名詞,数,,,
252,252,252,6.211,1,名詞,数,,,
500,500,500,6.211,1,名詞,数,,,
1928,1928,1928,6.211,1,名詞,数,,,
1929,1929,1929,5.91,2,名詞,数,,,
1930,1930,1930,5.734,3,名詞,数,,,
44357,44357,44357,6.211,1,名詞,数,,,
　,　,　,3.145,1165,記号,空白,,,
　│　│,　│　│,　│　│,6.211,1,名詞,サ変接続,,,
　┃┃　,　┃┃　,　┃┃　,6.211,1,名詞,サ変接続,,,
　┐　┌,　┐　┌,　┐　┌,6.211,1,名詞,サ変接続,,,
　┘,　┘,　┘,6.211,1,名詞,サ変接続,,,
-,-,-,5.308,8,名詞,サ変接続,,,
—,—,—,5.211,10,記号,一般,,,
——,——,——,2.918,1965,記号,一般,,,
———————————————,———————————————,———————————————,6.211,1,名詞,サ変接続,,,
〜,〜,〜,6.211,1,記号,一般,,,
・,・,・,3.656,359,記号,一般,,,
、,、,、,1.245,92571,記号,読点,,,
:,:,:,5.097,13,名詞,サ変接続,,,
！,！,！,3.133,1197,記号,一般,,,
!,!,!,6.211,1,名詞,サ変接続,,,
？,？,？,3.066,1397,記号,一般,,,
?,?,?,6.211,1,名詞,サ変接続,,,
.,.,.,4.426,61,名詞,サ変接続,,,
‥,‥,‥,5.91,2,記号,一般,,,
…,…,…,2.652,3620,記号,一般,,,
.）,.）,.）,6.211,1,名詞,サ変接続,,,
.),.),.),5.91,2,名詞,サ変接続,,,
.)〕〔,.)〕〔,.)〕〔,6.211,1,名詞,サ変接続,,,
.〔,.〔,.〔,5.91,2,名詞,サ変接続,,,
.〕,.〕,.〕,6.211,1,名詞,サ変接続,,,
.〕〔,.〕〔,.〕〔,6.211,1,名詞,サ変接続,,,
。,。,。,1.436,59526,記号,句点,,,
',',',5.035,15,名詞,サ変接続,,,
“,“,“,5.433,6,記号,括弧開,,,
”,”,”,5.433,6,記号,括弧閉,,,
（,（,（,3.24,935,記号,括弧開,,,
(,(,(,5.734,3,名詞,サ変接続,,,
